"","A","B","C","D","E","RMSE","ID"
"37",-19.5991331180989,43899106.1912537,112.864698977287,2.97118830702197,0,0.311938408448167,37
"38",NA,NA,NA,NA,NA,NA,38
"39",-22.3012154677948,61211441.1941993,116.533280458764,3.00006422338653,0,0.33256895079322,39
"40",-19.9609442935482,43665603.8707152,107.227931546983,2.97042599172433,0,0.78021542876479,40
"41",-22.3012154677948,61211441.1941993,116.533280458764,3.00006422338653,0,0.33256895079322,41
"42",-19.9609442935482,43665603.8707152,107.227931546983,2.97042599172433,0,0.78021542876479,42
"43",-19.8859981198301,44128963.5123404,106.258707231976,2.98613575145306,0,0.606001500942113,43
"44",-19.8072995148414,44348339.5600182,107.364936424801,2.96523712609716,0,1.00268721762053,44
"45",-19.8859981198301,44128963.5123404,106.258707231976,2.98613575145306,0,0.606001500942113,45
"46",-19.8072995148414,44348339.5600182,107.364936424801,2.96523712609716,0,1.00268721762053,46
"47",-19.8859981198301,44128963.5123404,106.258707231976,2.98613575145306,0,0.606001500942113,47
"48",-19.8072995148414,44348339.5600182,107.364936424801,2.96523712609716,0,1.00268721762053,48
"49",-19.8859981198301,44128963.5123404,106.258707231976,2.98613575145306,0,0.606001500942113,49
"50",-19.8072995148414,44348339.5600182,107.364936424801,2.96523712609716,0,1.00268721762053,50
"51",-19.8859981198301,44128963.5123404,106.258707231976,2.98613575145306,0,0.606001500942113,51
"52",-19.8072995148414,44348339.5600182,107.364936424801,2.96523712609716,0,1.00268721762053,52
"53",-19.8859981198301,44128963.5123404,106.258707231976,2.98613575145306,0,0.606001500942113,53
"54",-19.8072995148414,44348339.5600182,107.364936424801,2.96523712609716,0,1.00268721762053,54
"55",-16.674214775832,24744116.2754684,89.1248396429073,2.96942861628363,0,0.302832659889508,55
"56",-16.674214775832,24744116.2754684,89.1248396429073,2.96942861628363,0,0.302832659889508,56
"57",-19.491973186472,34058646.1270982,95.0110795383909,2.99237799729934,0,0.354388726988633,57
"58",-19.6848377382499,43807955.8321641,107.587437715581,2.98775507558907,0,0.404075563601169,58
"59",-20.0555532695315,45519471.8267652,107.944302310537,2.97502887217759,0,0.780289145056391,59
"60",-19.6770579649963,46817032.1917661,107.980402359198,2.99954405539044,0,0.404164562137672,60
"61",-20.0928136801461,39486910.2754738,106.975980528927,2.95027800453508,0,0.779976933627684,61
"62",-19.8993875871016,40274307.8989198,105.789788539853,2.96951425658544,0,0.605847340335322,62
