ID,ABGN,EENHEID,KLEUR
153,10071_G,fpZg23g,pZg23
154,10072_G,fpZg23t,pZg23
155,10080_G,kpZg23,pZg23
156,10081_G,kpZg23g,pZg23
157,10090_G,fkpZg23,pZg23
158,10100_G,pZg30r,pZg30
159,10110_G,pZn21,pZn21
160,10111_G,pZn21g,pZn21
161,10112_G,pZn21t,pZn21
162,10120_G,kpZn21,pZn21
163,10121_G,kpZn23x,pZn23
164,10130_G,pZn23,pZn23
165,10140_G,pZn23g,pZn23
166,10150_G,pZn23x,pZn23
167,10151_G,pZn23t,pZn23
168,10170_G,pZn30,pZn30
169,10180_B,Zn21,Zn21
170,10180_G,Zn21,Zn21
171,10182_B,Zn21g,Zn21
172,10186_B,Zn21,Zn21
173,10190_G,kZn21,Zn21
174,10191_G,kZn30,Zn30
175,10195_G,kZn21,Zn21
176,10200_G,Zn23,Zn23
177,10201_G,Zn23t,Zn23
178,10210_G,fZn23,Zn23
179,10211_G,fZn21,Zn21
180,10220_G,fkZn23,Zn23
181,10221_G,fkZn21,Zn21
182,10230_G,Zn30,Zn30
183,10240_B,Zd21,Zd21
184,10241_B,zHd21,Hd21
185,10250_B,Zd21g,Zd21
186,10251_B,zgY30,Y30
187,10260_B,Zd30,Zd30
188,10270_B,Zb21,Zb21
189,10280_A,Zb23,Zb23
190,10280_B,Zb23,Zb23
191,10281_A,Zb23g,Zb23
192,10290_A,Zb30,Zb30
193,11010_A,pZg20A,pZg20A
194,11020_G,Zn10A,Zn10A
195,11021_G,Zn10Av,Zn10A
196,11030_A,kZn40A,Zn40A
197,11031_A,kZn10A,Zn10A
198,11032_A,kZn50A,Zn50A
199,11040_A,Zn40A,Zn40A
200,11040_N,Zn40A,Zn40A
201,11050_A,Zn50A,Zn50A
202,11050_N,Zn50A,Zn50A
203,11051_A,Zn50Ar,Zn50A
204,11060_N,Zn30A,Zn30A
205,11061_N,Zn30Ab,Zn30A
206,11070_B,Zd20A,Zd20A
207,11071_B,Zd20Ab,Zd20A
208,12010_A,Sn13A,Sn13A
